L 07/11/2012 - 17:35:31: "Veilrap<6><STEAM_0:0:4190636><TERRORIST>" killed "clutchnasty<8><STEAM_0:1:33443748><CT>" with "sg552" (attacker_position "1309 2030 4") (victim_position "715 2146 -3")
L 07/11/2012 - 17:35:34: "revenger<9><STEAM_0:0:17255624><TERRORIST>" killed "where's-the-ammo<4><STEAM_0:0:32369201><CT>" with "m4a1" (attacker_position "1383 2031 5") (victim_position "160 2384 -63")
L 07/11/2012 - 17:35:37: "PJofT35<7><STEAM_0:0:32612111><TERRORIST>" killed "lubahou<16><STEAM_0:1:52664969><CT>" with "m4a1" (attacker_position "-1659 879 32") (victim_position "-1684 692 96")
L 07/11/2012 - 17:36:09: "careymichael<11><STEAM_0:1:783955><TERRORIST>" killed "clutchnasty<8><STEAM_0:1:33443748><CT>" with "ak47" (attacker_position "-483 217 3") (victim_position "-170 1433 64")
L 07/11/2012 - 17:36:25: "Keemak<13><STEAM_0:0:6113698><CT>" killed "careymichael<11><STEAM_0:1:783955><TERRORIST>" with "m4a1" (headshot) (attacker_position "1023 2609 96") (victim_position "273 1891 160")
L 07/11/2012 - 17:36:40: "revenger<9><STEAM_0:0:17255624><TERRORIST>" killed "Keemak<13><STEAM_0:0:6113698><CT>" with "m4a1" (attacker_position "1058 2658 96") (victim_position "1048 2870 202")
L 07/11/2012 - 17:36:52: "Henry<12><STEAM_0:1:53104189><CT>" killed "PJofT35<7><STEAM_0:0:32612111><TERRORIST>" with "m4a1" (attacker_position "334 1946 96") (victim_position "1019 2703 160")
L 07/11/2012 - 17:36:56: "Veilrap<6><STEAM_0:0:4190636><TERRORIST>" killed "Henry<12><STEAM_0:1:53104189><CT>" with "sg552" (headshot) (attacker_position "567 2684 96") (victim_position "400 1905 160")
L 07/11/2012 - 17:36:56: "revenger<9><STEAM_0:0:17255624><TERRORIST>" killed "tomwall<3><STEAM_0:1:30783438><CT>" with "m4a1" (headshot) (attacker_position "641 2254 -79") (victim_position "352 2304 -63")
L 07/11/2012 - 17:36:56: "revenger<9><STEAM_0:0:17255624><TERRORIST>" killed "where's-the-ammo<4><STEAM_0:0:32369201><CT>" with "m4a1" (attacker_position "565 2247 -102") (victim_position "256 2304 -62")
